case_id,activity_id,time_stamp,time_stamp_out,product_id
1,37,2023-09-24 09:31:35,2023-09-24 09:38:35,1
1,14,2023-09-24 09:38:35,2023-09-24 09:52:35,1
1,8,2023-09-24 09:52:35,2023-09-24 10:13:35,1
1,3,2023-09-24 10:13:35,2023-09-24 10:26:35,1
1,18,2023-09-24 10:26:35,2023-09-24 10:31:35,1
1,5,2023-09-24 10:31:35,2023-09-24 10:49:35,1
1,6,2023-09-24 10:49:35,2023-09-24 11:32:35,1
1,24,2023-09-24 11:32:35,2023-09-24 11:37:35,1
2,37,2023-09-24 09:31:35,2023-09-24 09:42:35,2
2,38,2023-09-24 09:42:35,2023-09-24 09:53:35,2
2,9,2023-09-24 09:53:35,2023-09-24 10:31:35,2
2,20,2023-09-24 10:31:35,2023-09-24 10:50:35,2
2,4,2023-09-24 10:50:35,2023-09-24 11:02:35,2
2,21,2023-09-24 11:02:35,2023-09-24 11:11:35,2
2,10,2023-09-24 11:11:35,2023-09-24 11:21:35,2
2,7,2023-09-24 11:21:35,2023-09-24 11:33:35,2
3,37,2023-09-24 09:31:35,2023-09-24 09:46:35,3
3,1,2023-09-24 09:46:35,2023-09-24 10:03:35,3
3,2,2023-09-24 10:03:35,2023-09-24 10:14:35,3
3,20,2023-09-24 10:14:35,2023-09-24 10:25:35,3
3,12,2023-09-24 10:25:35,2023-09-24 11:03:35,3
3,13,2023-09-24 11:03:35,2023-09-24 11:17:35,3
3,10,2023-09-24 11:17:35,2023-09-24 13:15:35,3
3,30,2023-09-24 13:15:35,2023-09-24 13:23:35,3
4,36,2023-09-24 09:31:35,2023-09-24 09:48:35,4
4,27,2023-09-24 09:48:35,2023-09-24 10:25:35,4
4,32,2023-09-24 10:25:35,2023-09-24 10:34:35,4
4,22,2023-09-24 10:34:35,2023-09-24 10:42:35,4
4,18,2023-09-24 10:42:35,2023-09-24 10:49:35,4
4,5,2023-09-24 10:49:35,2023-09-24 11:16:35,4
4,6,2023-09-24 11:16:35,2023-09-24 11:41:35,4
4,7,2023-09-24 11:41:35,2023-09-24 11:50:35,4
5,36,2023-09-24 09:31:35,2023-09-24 09:59:35,5
5,19,2023-09-24 09:59:35,2023-09-24 10:52:35,5
5,16,2023-09-24 10:52:35,2023-09-24 11:26:35,5
5,20,2023-09-24 11:26:35,2023-09-24 11:37:35,5
5,29,2023-09-24 11:37:35,2023-09-24 12:08:35,5
5,23,2023-09-24 12:08:35,2023-09-24 12:57:35,5
5,6,2023-09-24 12:57:35,2023-09-24 13:48:35,5
5,24,2023-09-24 13:48:35,2023-09-24 13:53:35,5
6,36,2023-09-24 09:31:35,2023-09-24 10:17:35,6
6,19,2023-09-24 10:17:35,2023-09-24 11:16:35,6
6,8,2023-09-24 11:16:35,2023-09-24 11:25:35,6
6,3,2023-09-24 11:25:35,2023-09-24 11:32:35,6
6,4,2023-09-24 11:32:35,2023-09-24 11:47:35,6
6,23,2023-09-24 11:47:35,2023-09-24 11:58:35,6
6,10,2023-09-24 11:58:35,2023-09-24 13:40:35,6
6,30,2023-09-24 13:40:35,2023-09-24 13:45:35,6
7,15,2023-09-24 09:31:35,2023-09-24 12:37:35,7
7,38,2023-09-24 12:37:35,2023-09-24 13:10:35,7
7,16,2023-09-24 13:10:35,2023-09-24 13:36:35,7
7,22,2023-09-24 13:36:35,2023-09-24 13:48:35,7
7,12,2023-09-24 13:48:35,2023-09-24 14:40:35,7
7,5,2023-09-24 14:40:35,2023-09-24 15:10:35,7
7,6,2023-09-24 15:10:35,2023-09-24 15:48:35,7
7,24,2023-09-24 15:48:35,2023-09-24 15:53:35,7
8,15,2023-09-24 09:31:35,2023-09-24 14:16:35,8
