case_id,previous_node,actual_node,time_stamp,product_id,time
1,-1,16,1,1,1
1,-1,16,1,2,1
1,-1,16,1,3,1
2,-1,12,2,4,1
2,-1,12,2,5,1
2,-1,12,2,6,1
3,-1,11,3,7,1
3,-1,11,3,8,1
3,-1,11,3,9,1
4,-1,8,4,10,1
4,-1,8,4,11,1
4,-1,8,4,12,1
5,-1,0,5,13,1
5,-1,0,5,14,1
5,-1,0,5,15,1
6,0,1,6,13,9
7,8,5,7,10,10
8,-1,0,8,16,10
9,11,6,9,7,11
10,-1,8,10,17,11
11,-1,11,11,18,12
12,11,13,12,8,16
13,-1,11,13,19,17
14,0,1,14,14,17
15,-1,0,15,20,18
16,5,2,16,10,21
17,11,5,17,9,21
18,-1,11,18,21,22
19,8,5,19,11,22
20,16,6,20,1,23
21,-1,8,21,22,23
22,-1,16,22,23,24
23,1,15,23,13,25
24,0,1,24,15,25
25,11,13,25,18,26
26,-1,0,26,24,26
27,-1,11,27,25,27
28,8,1,28,12,31
29,5,17,29,9,32
30,-1,8,30,26,32
31,11,5,31,19,33
32,0,5,32,16,33
33,-1,11,33,27,34
34,-1,0,34,28,34
35,2,3,35,10,35
36,16,6,36,2,35
37,-1,16,37,29,36
38,12,13,38,4,36
39,6,2,39,7,37
40,-1,12,40,30,37
41,15,9,41,13,38
42,3,4,42,10,42
43,0,6,43,20,44
44,-1,0,44,31,45
45,9,7,45,13,48
46,2,3,46,7,48
47,13,2,47,8,48
48,4,-1,48,10,50
49,1,15,49,14,53
50,11,1,50,21,53
51,-1,11,51,32,54
52,3,4,52,7,57
53,11,13,53,25,58
54,-1,11,54,33,59
55,2,3,55,8,60
56,17,9,56,9,62
57,6,2,57,1,62
58,7,-1,58,13,63
59,13,17,59,18,64
60,4,-1,60,7,65
61,15,10,61,14,66
62,1,15,62,15,66
63,11,1,63,27,66
64,-1,11,64,34,67
65,0,6,65,24,70
66,5,19,66,11,71
67,-1,0,67,35,71
68,6,2,68,2,73
69,11,5,69,32,73
70,-1,11,70,36,74
71,13,15,71,4,75
72,10,4,72,14,76
73,0,13,73,28,78
74,15,10,74,15,79
75,-1,0,75,37,79
76,12,6,76,5,83
77,11,13,77,33,83
78,9,7,78,9,84
79,-1,12,79,38,84
80,-1,11,80,39,84
81,19,9,81,11,86
82,10,4,82,15,89
83,17,10,83,18,89
84,5,17,84,19,89
85,6,19,85,20,90
86,4,-1,86,14,91
87,3,4,87,8,92
88,7,-1,88,9,93
89,11,5,89,34,93
90,9,7,90,11,94
91,-1,11,91,40,94
92,0,6,92,31,96
93,-1,0,93,41,97
94,13,15,94,25,98
95,10,7,95,18,99
96,17,3,96,19,99
97,15,9,97,4,100
98,2,10,98,1,100
99,5,17,99,16,100
100,6,2,100,24,103
101,11,5,101,36,104
102,-1,11,102,42,105
103,0,6,103,35,105
104,3,4,104,19,106
105,1,15,105,12,106
106,8,1,106,17,106
107,-1,0,107,43,106
108,-1,8,108,44,107
109,13,17,109,28,108
110,12,13,110,6,108
111,16,13,111,3,109
112,-1,12,112,45,109
113,17,3,113,16,110
114,-1,16,114,46,110
115,9,7,115,4,111
116,2,9,116,2,111
117,4,-1,117,15,116
118,7,-1,118,11,118
119,19,14,119,20,118
120,13,19,120,33,118
121,1,2,121,21,119
122,11,1,122,39,122
123,17,18,123,28,123
124,-1,11,124,47,123
125,4,-1,125,8,124
126,10,4,126,1,125
127,5,17,127,32,125
128,0,5,128,37,125
129,8,13,129,22,126
130,-1,0,130,48,126
131,-1,8,131,49,127
132,18,4,132,28,128
133,2,10,133,24,128
134,19,18,134,33,130
135,13,19,135,6,130
136,6,2,136,5,130
137,1,17,137,27,132
138,3,7,138,16,133
139,11,1,139,40,134
140,-1,11,140,50,135
141,7,-1,141,18,138
142,15,3,142,25,139
143,6,15,143,31,139
144,11,6,144,42,139
145,0,6,145,41,139
146,4,-1,146,19,140
147,17,3,147,32,140
148,-1,11,148,51,140
149,-1,0,149,52,140
150,16,13,150,23,141
151,-1,16,151,53,142
152,18,4,152,33,143
153,9,7,153,2,145
154,13,17,154,3,145
155,6,19,155,35,148
156,1,2,156,17,148
157,19,9,157,6,150
158,4,-1,158,1,151
159,0,1,159,43,152
160,8,6,160,26,153
161,-1,0,161,54,153
162,11,13,162,47,154
163,-1,8,163,55,154
164,-1,11,164,56,155
165,3,4,165,25,157
166,6,19,166,42,158
167,7,-1,167,4,165
168,0,6,168,48,165
169,2,18,169,21,166
170,-1,0,170,57,166
171,4,-1,171,28,168
172,15,3,172,12,168
173,18,4,173,21,171
174,17,18,174,27,171
175,9,7,175,6,172
176,6,15,176,41,175
177,4,-1,177,33,176
178,2,9,178,5,177
179,11,6,179,50,179
180,1,2,180,39,180
181,-1,11,181,58,180
182,17,9,182,3,181
183,18,4,183,27,182
184,13,17,184,22,182
185,4,-1,185,25,184
186,11,1,186,51,184
187,15,18,187,31,185
188,-1,11,188,59,185
189,8,13,189,44,188
190,2,10,190,17,189
191,-1,8,191,60,189
192,7,-1,192,16,190
193,18,4,193,31,190
194,3,7,194,32,193
195,15,18,195,41,198
196,7,-1,196,2,199
197,17,3,197,22,200
198,4,-1,198,21,201
199,13,15,199,23,202
200,18,4,200,41,203
201,5,17,201,34,205
202,11,5,202,56,206
203,2,18,203,39,207
204,-1,11,204,61,207
205,7,-1,205,6,208
206,18,7,206,39,212
207,6,2,207,26,212
208,4,-1,208,27,213
209,1,2,209,40,213
210,16,1,210,29,213
211,-1,16,211,62,214
212,3,4,212,12,215
213,11,6,213,58,215
214,17,18,214,34,216
215,5,17,215,36,216
216,-1,11,216,63,216
217,14,7,217,20,217
218,13,15,218,47,218
219,11,13,219,59,220
220,8,5,220,49,220
