time,vertex,state,state_id,buffer_occupation,production_step
1,0,working,2,0.0,0
1,9,working,2,0.0,0
1,12,working,2,0.0,0
1,13,working,2,0.0,0
1,24,working,2,0.0,0
1,28,working,2,0.0,0
1,1,working,2,0.0,1
1,8,working,2,0.0,1
1,10,working,2,0.0,1
1,16,working,2,0.0,1
1,21,working,2,0.0,1
1,26,starved,0,0.0,1
1,2,working,2,0.0,2
1,7,working,2,0.0,2
1,11,working,2,0.0,2
1,17,starved,0,0.0,2
1,22,starved,0,0.0,2
1,25,starved,0,0.0,2
1,3,working,2,0.0,3
1,15,working,2,0.0,3
1,23,working,2,0.0,3
1,29,starved,0,0.0,3
1,4,working,2,0.0,4
1,5,working,2,0.0,4
1,6,working,2,0.0,4
1,14,starved,0,0.0,4
1,18,starved,0,0.0,4
1,19,starved,0,0.0,4
1,20,starved,0,0.0,4
1,27,starved,0,0.0,4
2,0,working,2,0.0,0
2,9,working,2,0.0,0
2,12,working,2,0.0,0
2,13,working,2,0.0,0
2,24,working,2,0.0,0
2,28,working,2,0.0,0
2,1,working,2,0.3333333333333333,1
2,8,working,2,0.0,1
2,10,working,2,0.0,1
2,16,working,2,0.0,1
2,21,working,2,0.0,1
2,26,working,2,0.0,1
2,2,working,2,0.0,2
2,7,working,2,0.0,2
2,11,working,2,0.0,2
2,17,working,2,0.0,2
2,22,starved,0,0.0,2
2,25,starved,0,0.0,2
2,3,working,2,0.0,3
2,15,working,2,0.0,3
2,23,working,2,0.0,3
2,29,working,2,0.0,3
2,4,working,2,0.0,4
2,5,working,2,0.0,4
2,6,working,2,0.0,4
2,14,working,2,0.0,4
2,18,working,2,0.0,4
2,19,starved,0,0.0,4
2,20,starved,0,0.0,4
2,27,starved,0,0.0,4
3,0,working,2,0.0,0
3,9,working,2,0.0,0
3,12,working,2,0.0,0
3,13,working,2,0.0,0
3,24,working,2,0.0,0
3,28,working,2,0.0,0
3,1,working,2,0.3333333333333333,1
3,8,working,2,0.0,1
3,10,working,2,0.0,1
3,16,working,2,0.0,1
3,21,working,2,0.0,1
3,26,working,2,0.0,1
3,2,working,2,0.0,2
3,7,working,2,0.0,2
3,11,working,2,0.0,2
3,17,working,2,0.0,2
3,22,working,2,0.0,2
3,25,working,2,0.0,2
3,3,working,2,0.3333333333333333,3
3,15,working,2,0.3333333333333333,3
3,23,working,2,0.0,3
3,29,working,2,0.0,3
3,4,working,2,0.0,4
3,5,working,2,0.0,4
3,6,working,2,0.0,4
3,14,working,2,0.0,4
3,18,starved,0,0.0,4
3,19,starved,0,0.0,4
3,20,starved,0,0.0,4
3,27,starved,0,0.0,4
4,0,working,2,0.0,0
4,9,working,2,0.0,0
4,12,working,2,0.0,0
4,13,working,2,0.0,0
4,24,working,2,0.0,0
4,28,working,2,0.0,0
4,1,working,2,0.3333333333333333,1
4,8,working,2,0.0,1
4,10,working,2,0.0,1
4,16,working,2,0.0,1
4,21,working,2,0.0,1
4,26,working,2,0.0,1
4,2,working,2,0.0,2
4,7,working,2,0.0,2
4,11,working,2,0.0,2
4,17,working,2,0.0,2
4,22,working,2,0.0,2
4,25,working,2,0.0,2
4,3,working,2,0.3333333333333333,3
4,15,working,2,0.3333333333333333,3
4,23,working,2,0.3333333333333333,3
4,29,working,2,0.0,3
4,4,working,2,0.0,4
4,5,working,2,0.0,4
4,6,working,2,0.0,4
4,14,working,2,0.0,4
4,18,starved,0,0.0,4
4,19,starved,0,0.0,4
4,20,starved,0,0.0,4
4,27,starved,0,0.0,4
5,0,working,2,0.0,0
5,9,working,2,0.0,0
5,12,working,2,0.0,0
5,13,working,2,0.0,0
5,24,working,2,0.0,0
5,28,working,2,0.0,0
5,1,working,2,0.0,1
5,8,working,2,0.0,1
5,10,working,2,0.0,1
5,16,working,2,0.0,1
5,21,working,2,0.0,1
5,26,working,2,0.0,1
5,2,working,2,0.3333333333333333,2
5,7,working,2,0.0,2
5,11,working,2,0.0,2
5,17,working,2,0.0,2
5,22,working,2,0.0,2
5,25,working,2,0.0,2
5,3,working,2,0.3333333333333333,3
5,15,working,2,0.3333333333333333,3
5,23,working,2,0.3333333333333333,3
5,29,working,2,0.0,3
5,4,working,2,0.0,4
5,5,working,2,0.0,4
5,6,working,2,0.0,4
5,14,working,2,0.0,4
5,18,starved,0,0.0,4
5,19,starved,0,0.0,4
5,20,starved,0,0.0,4
5,27,starved,0,0.0,4
6,0,working,2,0.0,0
6,9,working,2,0.0,0
6,12,working,2,0.0,0
6,13,working,2,0.0,0
6,24,working,2,0.0,0
6,28,working,2,0.0,0
6,1,working,2,0.0,1
6,8,working,2,0.0,1
6,10,working,2,0.0,1
6,16,working,2,0.0,1
6,21,working,2,0.0,1
6,26,working,2,0.0,1
6,2,working,2,0.0,2
6,7,working,2,0.0,2
6,11,working,2,0.0,2
6,17,working,2,0.0,2
6,22,working,2,0.0,2
6,25,working,2,0.0,2
6,3,working,2,0.6666666666666666,3
6,15,working,2,0.3333333333333333,3
6,23,working,2,0.3333333333333333,3
6,29,working,2,0.3333333333333333,3
6,4,working,2,0.0,4
6,5,working,2,0.0,4
6,6,working,2,0.0,4
6,14,working,2,0.0,4
6,18,starved,0,0.0,4
6,19,starved,0,0.0,4
6,20,starved,0,0.0,4
6,27,starved,0,0.0,4
7,0,working,2,0.0,0
7,9,working,2,0.0,0
7,12,working,2,0.0,0
7,13,working,2,0.0,0
7,24,working,2,0.0,0
7,28,working,2,0.0,0
7,1,working,2,0.0,1
7,8,working,2,0.0,1
7,10,working,2,0.3333333333333333,1
7,16,working,2,0.0,1
7,21,working,2,0.0,1
7,26,working,2,0.0,1
7,2,working,2,0.0,2
7,7,working,2,0.0,2
7,11,working,2,0.0,2
7,17,starved,0,0.0,2
7,22,starved,0,0.0,2
7,25,starved,0,0.0,2
7,3,working,2,0.3333333333333333,3
7,15,working,2,0.3333333333333333,3
7,23,working,2,0.3333333333333333,3
7,29,working,2,0.3333333333333333,3
7,4,working,2,0.0,4
7,5,working,2,0.0,4
7,6,working,2,0.0,4
7,14,working,2,0.0,4
7,18,starved,0,0.0,4
7,19,starved,0,0.0,4
7,20,starved,0,0.0,4
7,27,starved,0,0.0,4
8,0,working,2,0.0,0
8,9,working,2,0.0,0
8,12,working,2,0.0,0
8,13,working,2,0.0,0
8,24,working,2,0.0,0
8,28,working,2,0.0,0
8,1,working,2,0.3333333333333333,1
8,8,working,2,0.0,1
8,10,working,2,0.3333333333333333,1
8,16,working,2,0.3333333333333333,1
8,21,working,2,0.3333333333333333,1
8,26,working,2,0.3333333333333333,1
8,2,working,2,0.0,2
8,7,working,2,0.0,2
8,11,working,2,0.0,2
8,17,working,2,0.0,2
8,22,starved,0,0.0,2
8,25,starved,0,0.0,2
8,3,working,2,0.3333333333333333,3
8,15,working,2,0.3333333333333333,3
8,23,working,2,0.3333333333333333,3
8,29,working,2,0.0,3
8,4,working,2,0.0,4
8,5,working,2,0.0,4
8,6,working,2,0.0,4
8,14,working,2,0.0,4
8,18,starved,0,0.0,4
8,19,starved,0,0.0,4
8,20,starved,0,0.0,4
8,27,starved,0,0.0,4
9,0,working,2,0.0,0
9,9,working,2,0.0,0
9,12,working,2,0.0,0
9,13,working,2,0.0,0
9,24,working,2,0.0,0
9,28,working,2,0.0,0
9,1,working,2,0.6666666666666666,1
9,8,working,2,0.3333333333333333,1
9,10,working,2,0.3333333333333333,1
9,16,working,2,0.3333333333333333,1
9,21,working,2,0.3333333333333333,1
9,26,working,2,0.3333333333333333,1
9,2,working,2,0.0,2
9,7,working,2,0.0,2
9,11,working,2,0.0,2
